,Dependent_count,Months_on_book (Length of relationship with bansk[months]),Total_Relationship_Count (How many products with customer) ,Months_Inactive_12_mon (Card not used),Contacts_Count_12_mon (Number of contacts in 12 months),Credit_Limit,Total_Revolving_Bal (Balance unpaid at month end),Total_Amt_Chng_Q4_Q1(Ratio Q4/Q1),Total_Trans_Ct (Transaction Count 12 months),Total_Ct_Chng_Q4_Q1 (Change in the transaction amount Q4/Q1),Avg_Utilization_Ratio (Credit usage/Total Credit available),Gender_code,Education_Level_code,Marital_Status_code,Income_Category_code,Card_Category_code
40,3,41,2,2,2,32426.0,578,1.042,28,0.474,0.018,1,2,2,3,0
41,2,44,4,1,0,6205.0,2204,0.803,28,0.556,0.355,1,6,1,1,0
42,1,43,3,2,3,17304.0,2517,1.449,33,1.2,0.145,0,0,2,1,3
43,3,37,5,2,1,3906.0,0,1.214,32,1.0,0.0,1,3,1,2,0
44,4,28,2,3,3,9830.0,2055,0.977,23,0.917,0.209,0,2,2,5,0
45,4,30,3,2,3,34516.0,0,1.621,28,1.333,0.0,1,5,2,3,0
46,2,45,6,2,0,2283.0,1430,2.316,27,0.588,0.626,1,1,1,2,0
47,1,52,3,2,2,2548.0,2020,2.357,27,1.7,0.793,1,1,1,1,0
48,3,40,4,3,3,19458.0,1435,0.787,27,0.8,0.074,1,3,1,3,0
49,1,40,5,1,1,4745.0,1227,0.624,40,0.6,0.259,1,0,2,3,0
50,3,41,6,3,2,2622.0,1549,1.321,30,1.143,0.591,0,6,1,4,0
51,1,40,2,3,1,1438.3,808,0.997,19,0.9,0.562,0,2,1,4,0
52,0,54,3,4,2,3171.0,2179,1.224,38,1.923,0.687,0,3,1,4,0
53,2,36,4,2,0,19763.0,2517,0.664,35,0.25,0.127,1,6,1,0,0
54,2,36,1,3,3,15769.0,0,1.041,15,0.364,0.0,1,2,1,0,0
55,4,36,6,4,2,3298.0,2200,0.678,32,0.6,0.667,0,2,3,4,0
56,3,36,2,2,0,2802.0,2363,0.75,40,0.6,0.843,0,2,2,4,0
57,2,50,4,2,3,4458.0,1880,1.107,29,1.417,0.422,1,5,1,1,0
58,5,35,4,1,2,6273.0,978,2.275,25,1.083,0.156,0,2,1,5,0
59,2,34,4,4,3,3336.0,1753,0.69,27,1.25,0.525,1,3,2,2,0
60,3,47,4,2,3,3436.0,2016,0.901,33,0.833,0.587,1,6,1,3,0
61,2,35,2,4,4,34516.0,0,0.763,15,0.5,0.0,1,2,1,2,3
62,1,33,5,3,3,5926.0,1251,0.944,28,1.154,0.211,1,3,0,2,0
63,4,32,2,4,2,23957.0,2102,0.997,26,0.733,0.088,1,4,2,0,0
64,2,44,4,2,2,14734.0,1634,0.989,23,0.917,0.111,1,3,2,0,0
65,4,38,4,1,4,34516.0,1515,0.592,32,0.6,0.044,1,5,2,3,3
66,2,52,5,3,3,6584.0,1817,0.62,35,0.667,0.276,1,0,1,2,0
67,2,20,6,3,3,2084.0,1468,1.004,28,0.556,0.704,0,5,2,4,0
68,2,32,2,2,2,1687.0,1107,1.715,17,2.4,0.656,1,2,1,2,0
69,2,38,6,2,2,25300.0,1330,1.072,15,2.0,0.053,1,1,1,3,0
70,4,42,3,2,3,34516.0,1763,1.266,41,1.05,0.051,1,2,2,0,0
71,2,42,5,3,3,2216.0,1034,0.758,36,0.286,0.467,0,2,1,4,0
72,1,43,4,2,3,2910.0,2030,0.769,21,0.4,0.698,1,2,3,2,0
73,5,37,6,2,2,22913.0,1528,0.414,35,0.522,0.067,1,5,1,3,0
74,1,35,3,3,3,24312.0,1932,1.312,24,1.182,0.079,1,0,2,2,0
75,2,36,5,3,2,5272.0,1515,0.857,33,0.435,0.287,1,2,2,3,0
76,4,36,6,4,2,7000.0,2517,0.475,23,1.875,0.36,0,2,2,4,0
77,3,29,4,4,2,7038.0,1801,0.751,57,0.966,0.256,0,5,2,4,0
78,3,30,6,1,2,2536.0,1823,0.703,23,0.353,0.719,1,2,0,2,0
79,2,38,6,3,2,28904.0,1899,0.85,35,0.4,0.066,1,2,1,3,0
80,3,37,4,4,0,8567.0,1695,1.242,41,1.412,0.198,1,2,1,2,0
81,1,36,6,2,2,34516.0,1533,0.924,29,0.526,0.044,1,6,3,0,0
82,4,45,2,4,3,2158.0,0,0.585,12,0.714,0.0,0,6,1,1,0
83,1,52,2,3,3,10133.0,1417,0.383,20,0.818,0.14,0,2,1,5,0
84,1,35,5,4,2,34516.0,1219,1.129,27,2.0,0.035,1,2,0,3,0
85,2,47,5,3,0,3085.0,1910,0.921,35,0.667,0.619,1,2,1,2,0
86,2,35,4,2,1,19040.0,2056,0.607,31,0.722,0.108,1,3,2,0,0
87,3,35,5,2,3,4026.0,0,0.483,32,0.6,0.0,0,5,2,4,0
88,3,31,4,3,1,12756.0,837,1.932,14,1.8,0.066,1,3,2,2,0
89,2,45,5,3,3,5266.0,0,1.702,29,1.636,0.0,1,6,1,0,0
90,2,36,3,2,2,9930.0,0,0.731,21,1.333,0.0,0,3,2,4,0
91,4,38,4,3,0,31302.0,1953,0.875,35,2.182,0.062,1,3,2,3,0
92,1,36,4,4,3,6576.0,0,0.579,34,0.619,0.0,1,2,2,1,0
93,0,42,5,4,1,2664.0,2037,0.85,29,0.933,0.765,1,2,2,3,0
94,3,28,5,1,2,2535.0,2440,1.705,20,1.222,0.963,0,6,1,5,0
95,1,52,6,4,3,1709.0,895,1.656,32,0.882,0.524,1,2,1,4,0
96,3,35,5,4,2,3454.0,1200,0.597,30,0.304,0.347,1,2,1,1,0
97,3,35,5,3,2,3789.0,1706,1.047,42,0.68,0.45,1,1,1,1,0
98,3,50,3,2,0,9689.0,2250,0.576,19,0.727,0.232,1,0,1,0,0
99,2,37,2,3,3,5449.0,1628,0.696,18,0.385,0.299,1,6,1,3,0
100,3,43,4,4,0,23032.0,1960,0.619,22,1.0,0.085,0,0,2,5,0
101,3,34,5,3,3,34516.0,2053,1.034,26,0.733,0.059,0,6,1,5,3
102,3,34,6,2,2,2940.0,1264,0.562,33,0.5,0.43,1,2,1,0,0
103,2,32,3,3,3,3031.0,1879,0.788,15,1.5,0.62,0,2,2,4,0
104,3,25,3,3,0,1862.0,0,0.883,34,0.789,0.0,1,3,3,2,0
105,4,33,2,3,3,8358.0,926,0.762,37,0.542,0.111,0,4,1,4,0
106,2,36,6,1,2,34516.0,931,0.828,21,1.1,0.027,1,4,2,0,0
107,1,36,5,2,3,14450.0,2440,1.283,30,0.667,0.169,1,5,1,2,0
108,1,56,6,0,0,1438.3,0,0.813,44,1.095,0.0,0,6,1,4,0
109,4,36,6,3,2,33791.0,1960,0.618,31,0.824,0.058,1,6,0,0,0
110,4,39,4,3,0,8466.0,1886,0.56,32,0.391,0.223,1,2,1,2,0
111,3,36,5,3,3,15088.0,865,0.939,21,1.625,0.057,1,6,1,2,0
112,4,36,5,1,2,3263.0,1674,0.588,35,0.346,0.513,1,3,0,2,0
113,0,36,2,2,2,1494.0,706,1.674,24,3.0,0.473,0,5,1,4,0
114,3,35,6,1,0,13551.0,1294,0.791,37,1.056,0.095,1,2,2,3,0
115,1,36,6,2,2,18886.0,895,1.826,18,1.571,0.047,1,2,2,3,0
116,3,48,3,2,0,11976.0,1273,1.024,36,1.118,0.106,1,3,3,3,0
117,3,39,4,1,4,9964.0,1559,1.873,25,0.786,0.156,1,3,2,3,0
118,1,36,4,6,3,24159.0,1196,0.712,24,1.0,0.05,1,1,1,2,0
119,2,44,3,2,3,5362.0,1901,0.816,38,1.0,0.355,0,3,1,4,0
120,2,36,3,2,2,34516.0,1023,1.004,13,0.625,0.03,1,2,2,0,0
121,1,36,4,1,0,3174.0,1951,0.766,29,0.611,0.615,0,1,1,4,0
122,1,47,3,2,2,12262.0,1836,1.584,38,1.533,0.15,1,3,1,3,0
123,3,41,4,3,3,3788.0,1540,0.566,47,0.382,0.407,0,3,2,1,0
124,2,42,2,3,2,34516.0,1527,0.526,42,0.355,0.044,1,0,2,0,3
125,3,36,4,2,2,2926.0,0,0.676,24,0.846,0.0,1,2,2,2,0
126,4,52,6,1,0,32090.0,0,0.567,30,0.364,0.0,1,2,2,0,0
127,2,41,3,3,2,11669.0,2227,0.622,23,0.353,0.191,1,2,1,3,0
128,2,45,3,1,2,13532.0,1300,0.846,29,1.417,0.096,1,3,2,1,0
129,1,36,4,2,2,11888.0,2090,0.7,30,0.765,0.176,0,5,3,4,3
130,1,36,5,1,2,2393.0,1985,0.788,16,0.778,0.83,0,2,1,4,0
131,4,39,5,1,2,6111.0,2517,0.632,16,2.2,0.412,1,6,1,1,0
132,4,46,3,2,3,19270.0,1662,1.186,28,1.545,0.086,1,2,1,3,0
133,1,43,3,1,4,3710.0,2517,1.541,34,0.7,0.678,1,2,1,3,0
134,2,37,2,1,3,3235.0,797,0.541,32,1.0,0.246,1,1,2,4,0
135,3,38,3,1,0,11749.0,788,0.688,27,0.929,0.067,0,2,2,1,0
136,2,36,5,3,2,7753.0,2100,0.839,26,0.733,0.271,1,3,0,2,0
137,4,40,5,1,0,10408.0,1186,1.689,42,1.211,0.114,1,0,0,2,0
138,1,36,6,2,3,3967.0,1568,1.236,29,1.231,0.395,0,0,1,5,0
139,2,27,4,2,2,6205.0,2517,0.939,19,0.727,0.406,0,4,2,4,0
140,5,38,1,3,3,8025.0,0,0.654,18,0.8,0.0,0,3,1,4,0
141,1,42,6,2,3,9036.0,2327,0.649,18,0.636,0.258,1,6,2,0,0
142,4,34,2,3,2,14926.0,2517,1.996,25,1.5,0.169,1,2,1,3,0
143,1,36,3,2,3,6335.0,1128,0.397,20,0.667,0.178,0,2,2,4,0
144,1,53,2,3,3,14979.0,0,0.71,10,1.0,0.0,1,0,2,2,0
145,4,38,3,2,3,2732.0,0,0.76,16,0.455,0.0,0,5,1,4,0
146,2,32,6,3,2,2250.0,2117,1.162,31,2.875,0.941,0,2,2,4,0
147,2,50,3,2,0,10916.0,1536,1.317,34,1.0,0.141,1,2,1,0,0
148,4,36,4,1,3,5349.0,1228,0.728,30,1.308,0.23,0,2,1,5,0
149,2,24,4,1,3,9366.0,1104,0.572,39,0.625,0.118,1,3,1,3,0
150,3,28,5,1,0,21617.0,0,1.047,22,0.467,0.0,1,3,2,3,0
151,1,56,5,2,3,13860.0,1652,1.255,32,1.909,0.119,1,2,1,5,0
152,1,31,2,2,3,18386.0,0,0.868,22,0.571,0.0,0,2,2,1,3
153,4,41,6,2,2,2405.0,1540,0.469,29,1.231,0.64,1,5,2,2,0
154,1,47,4,2,3,2154.0,930,2.121,26,1.364,0.432,0,0,1,4,0
155,5,36,3,3,3,2038.0,0,0.786,28,0.75,0.0,0,6,1,1,0
156,4,38,6,1,3,8135.0,0,1.373,29,0.812,0.0,0,3,2,1,0
157,1,38,6,1,3,9364.0,618,0.554,27,0.8,0.066,1,1,1,0,0
158,2,35,4,3,2,32643.0,0,1.3,24,2.429,0.0,0,5,1,5,3
159,4,34,2,3,1,3195.0,1954,0.971,29,0.706,0.612,0,2,0,4,0
160,0,43,5,2,1,2852.0,1024,1.009,28,1.0,0.359,1,3,1,3,0
161,1,36,2,3,3,4224.0,1305,0.852,31,0.824,0.309,0,0,2,5,0
162,1,36,3,2,2,20459.0,2071,1.248,38,2.167,0.101,1,5,1,2,0
163,4,41,6,5,3,3482.0,2114,0.508,24,0.263,0.607,0,6,0,4,0
164,4,40,5,2,3,3065.0,1570,1.077,28,1.333,0.512,0,5,1,1,0
165,3,43,3,1,2,2185.0,1761,0.682,30,0.429,0.806,0,5,1,4,0
166,3,36,4,1,0,1611.0,746,0.993,29,0.706,0.463,0,5,1,4,0
167,4,47,3,3,3,2822.0,2173,1.456,23,2.286,0.77,0,5,1,4,0
168,5,33,6,3,3,32975.0,2517,0.658,17,0.7,0.076,1,2,2,3,0
169,3,47,5,2,2,1438.3,0,0.776,53,0.828,0.0,1,3,1,2,0
170,4,36,4,3,3,15875.0,1719,0.86,37,1.467,0.108,0,5,0,5,0
171,1,45,6,3,3,6703.0,893,0.567,28,0.75,0.133,0,3,1,4,0
172,2,36,2,2,1,3212.0,0,0.713,20,0.25,0.0,1,6,1,3,0
173,2,45,3,1,3,34516.0,1260,0.588,34,0.789,0.037,1,3,1,3,3
174,3,36,4,1,2,9797.0,1434,0.644,34,0.478,0.146,0,3,1,1,0
175,5,36,5,2,2,10400.0,1777,0.791,28,0.867,0.171,0,2,0,1,0
176,3,42,2,1,2,26792.0,1836,1.432,47,0.88,0.069,1,5,1,3,0
177,1,56,4,3,2,3006.0,2517,2.053,32,1.0,0.837,0,2,1,4,0
178,2,36,6,3,0,19482.0,1072,0.706,22,1.444,0.055,0,5,2,1,3
179,1,36,4,2,3,3356.0,985,0.35,28,0.556,0.294,0,5,1,1,0
180,2,34,3,2,1,5771.0,2248,1.791,18,0.8,0.39,1,5,1,1,0
181,3,36,6,2,3,11106.0,2107,0.948,24,1.0,0.19,1,2,1,3,0
182,1,54,5,3,0,2890.0,2001,1.334,36,1.0,0.692,0,5,1,4,0
183,1,45,6,2,2,3380.0,1701,0.747,25,1.273,0.503,1,2,1,2,0
184,3,36,2,1,2,21331.0,1251,0.949,50,1.083,0.059,1,2,1,2,0
185,3,38,6,2,1,12860.0,0,0.646,27,0.286,0.0,0,5,2,5,0
186,3,33,3,1,0,6278.0,462,1.161,33,0.941,0.074,1,4,2,3,0
187,0,55,5,1,3,1438.3,738,0.782,33,0.571,0.513,0,0,2,4,0
188,2,36,5,1,2,9355.0,1626,0.701,28,0.867,0.174,0,3,1,4,0
189,2,31,6,1,3,20758.0,0,0.688,32,0.684,0.0,0,4,1,5,0
190,1,47,5,3,1,14612.0,1976,1.768,24,3.0,0.135,1,2,1,3,0
191,4,27,5,2,0,27259.0,0,0.731,35,0.591,0.0,1,2,3,3,0
192,3,47,4,2,3,6347.0,1594,0.896,37,0.762,0.251,0,2,1,4,0
193,3,41,3,3,0,21592.0,1676,1.097,52,0.529,0.078,1,1,1,0,0
194,5,44,5,1,1,3449.0,1598,0.971,42,0.556,0.463,0,4,1,4,0
195,3,34,2,1,2,6028.0,799,0.819,22,0.571,0.133,0,3,1,4,0
196,0,36,3,2,3,18214.0,1998,0.829,21,1.1,0.11,1,3,3,0,0
197,3,43,3,3,1,16393.0,1423,1.642,42,0.75,0.087,1,5,1,3,0
198,0,52,1,3,2,1438.3,900,0.743,21,0.615,0.626,1,3,1,4,0
199,1,36,4,1,2,7871.0,1687,1.242,22,1.444,0.214,1,0,1,2,0
200,4,36,5,3,0,5288.0,866,0.869,42,0.75,0.164,1,6,1,3,0
201,5,32,4,5,3,11376.0,2006,0.619,27,0.8,0.176,1,2,1,2,0
202,3,41,4,5,3,12302.0,1632,1.509,41,0.519,0.133,1,0,1,3,0
203,4,33,3,2,1,34516.0,1679,0.623,27,0.5,0.049,1,2,1,2,3
204,2,32,4,2,2,34516.0,1468,0.505,32,0.684,0.043,1,2,1,2,3
205,1,35,3,2,2,10514.0,1580,0.504,27,0.8,0.15,0,3,0,4,3
206,2,43,2,4,3,1438.3,0,0.707,27,0.421,0.0,0,2,1,4,0
207,2,46,3,3,3,1438.3,0,0.688,24,0.5,0.0,1,4,1,2,0
208,1,56,2,1,2,2619.0,1779,1.259,37,0.947,0.679,1,2,1,1,0
209,2,53,2,3,0,24407.0,2395,1.071,48,0.714,0.098,1,0,1,0,0
210,2,36,4,1,2,2377.0,1649,0.93,26,1.167,0.694,0,3,1,4,0
211,0,40,3,2,3,34516.0,1359,1.327,26,1.364,0.039,1,6,3,3,3
212,3,47,5,3,3,11086.0,2207,0.869,40,1.105,0.199,1,2,1,0,0
213,3,36,4,2,2,11432.0,2517,0.615,37,0.762,0.22,1,3,2,2,0
214,4,36,5,3,2,13258.0,1721,0.908,21,1.333,0.13,1,3,1,1,0
215,2,36,3,2,3,2571.0,1955,0.531,24,0.714,0.76,1,0,2,4,0
216,4,31,5,2,0,5781.0,1168,0.638,32,0.455,0.202,0,2,2,4,0
217,4,30,5,1,2,7872.0,2509,0.971,32,0.882,0.319,1,6,1,2,0
218,3,35,6,1,2,34516.0,1202,0.603,33,0.737,0.035,1,3,1,3,0
219,3,38,4,1,3,11127.0,1835,2.368,25,1.273,0.165,0,5,0,4,3
220,2,43,2,1,3,1857.0,1603,0.579,43,1.263,0.863,1,6,2,1,0
221,1,36,5,1,0,1913.0,1272,1.008,22,1.0,0.665,0,5,1,4,0
222,4,24,5,3,0,3839.0,2295,0.569,24,0.714,0.598,1,2,2,3,0
223,3,39,6,2,3,2115.0,1141,0.616,20,0.538,0.539,0,2,0,1,0
224,2,27,5,2,2,1438.3,679,0.859,29,1.071,0.472,0,2,0,4,0
225,2,28,4,3,0,27756.0,1789,0.75,24,0.846,0.064,1,3,2,3,0
226,3,32,4,1,2,1438.3,0,0.81,26,0.625,0.0,1,0,2,2,0
227,2,34,6,4,2,13878.0,2222,0.853,38,0.357,0.16,0,5,0,4,3
228,2,36,3,1,3,3106.0,1304,0.604,38,0.407,0.42,0,2,1,4,0
229,2,44,4,3,3,34516.0,1666,0.613,18,0.8,0.048,1,2,1,0,0
230,1,50,4,4,3,1438.3,1025,0.838,12,0.714,0.713,0,5,1,1,0
231,2,46,2,3,0,18871.0,1740,1.727,21,2.0,0.092,1,6,1,3,0
232,5,29,5,2,2,5207.0,1748,1.073,26,1.0,0.336,1,2,2,0,0
233,3,36,6,2,2,17965.0,1644,0.921,50,0.923,0.092,1,4,0,3,0
234,1,37,6,3,3,2733.0,1819,0.767,25,0.923,0.666,1,0,2,2,0
235,2,48,4,3,2,8863.0,1301,1.207,27,1.455,0.147,1,0,1,2,0
236,1,36,2,3,3,1857.0,1833,0.723,17,0.7,0.987,1,5,1,3,0
237,3,33,3,3,3,34516.0,0,0.483,27,0.35,0.0,1,2,3,3,0
238,2,30,5,3,3,11107.0,1222,0.538,33,0.941,0.11,1,5,1,1,0
239,4,34,4,1,2,21573.0,1585,0.621,36,2.273,0.073,1,6,2,3,0
240,2,33,2,3,3,2859.0,2517,0.993,30,0.667,0.88,0,6,1,4,0
241,2,36,4,2,2,5269.0,1475,1.148,25,0.667,0.28,1,3,2,3,0
242,5,45,2,2,3,1438.3,0,0.734,21,0.615,0.0,1,0,1,1,0
243,2,36,1,3,2,3387.0,0,0.789,24,0.6,0.0,0,0,1,4,0
244,2,46,6,2,3,1982.0,1289,0.939,49,0.69,0.65,1,2,1,3,0
245,3,43,2,2,2,4645.0,1650,0.912,33,0.65,0.355,1,5,2,3,0
246,3,36,6,3,2,2189.0,1666,0.343,36,0.636,0.761,0,1,2,5,0
247,4,30,3,3,3,2442.0,0,0.98,19,0.727,0.0,1,3,1,0,0
248,3,38,4,1,2,21304.0,1532,1.018,25,0.923,0.072,1,2,1,2,0
249,2,36,5,1,2,7577.0,2480,0.435,35,0.167,0.327,1,1,2,2,0
250,3,31,4,1,2,3234.0,1486,0.868,28,0.647,0.459,1,4,2,0,0
251,0,36,5,3,2,4469.0,1125,1.363,34,1.615,0.252,1,3,1,1,0
252,3,46,6,3,4,2910.0,709,0.538,27,0.588,0.244,1,6,3,1,0
253,0,48,2,4,3,3616.0,1054,0.616,17,0.545,0.291,1,3,2,1,0
254,0,56,3,2,3,3252.0,1495,0.581,15,0.875,0.46,1,3,1,4,0
255,2,36,4,3,3,2358.0,1152,0.969,26,1.6,0.489,0,3,1,4,0
256,4,36,4,1,0,22322.0,953,0.769,34,1.125,0.043,1,6,2,2,0
257,1,39,4,2,2,3133.0,1510,0.609,38,0.462,0.482,1,5,2,0,0
258,2,35,2,3,0,3540.0,849,0.456,28,0.75,0.24,0,5,2,1,0
259,1,23,6,3,2,6990.0,1378,0.73,29,0.611,0.197,1,2,1,1,0
260,2,22,2,2,3,34516.0,1652,0.854,39,1.294,0.048,1,0,3,3,0
261,0,40,1,4,1,1438.3,0,1.038,23,0.353,0.0,0,4,1,1,0
262,4,35,6,3,2,24396.0,1171,0.655,17,1.125,0.048,1,6,1,2,0
263,1,36,2,3,2,2474.0,2143,1.53,40,1.0,0.866,0,6,1,4,0
264,2,32,5,1,3,5214.0,795,0.707,23,1.3,0.152,1,5,1,1,0
265,2,46,5,2,2,5207.0,1650,0.708,20,0.538,0.317,0,2,1,4,0
266,3,25,2,2,2,9512.0,1082,0.701,22,1.444,0.114,0,6,3,4,0
267,4,23,6,3,2,3187.0,2430,0.617,33,1.357,0.762,0,2,0,5,0
268,0,53,1,3,3,3353.0,0,1.021,18,0.385,0.0,0,3,1,1,0
269,5,38,3,3,3,2290.0,1434,0.923,18,3.5,0.626,1,2,1,2,0
270,3,43,6,1,3,5279.0,1115,0.549,41,0.519,0.211,1,6,2,1,0
271,2,29,5,3,0,23603.0,0,0.795,31,1.067,0.0,1,5,0,2,0
272,0,45,6,2,2,2601.0,0,0.814,32,0.684,0.0,1,5,1,1,0
273,4,40,4,3,0,6363.0,1029,0.838,16,1.286,0.162,1,2,2,3,0
274,3,36,4,3,3,8029.0,1576,0.826,32,0.524,0.196,1,3,2,3,0
275,4,31,2,2,2,2410.0,1769,0.759,30,1.143,0.734,0,5,1,4,0
276,2,36,1,1,2,3401.0,0,0.898,18,1.0,0.0,1,2,2,2,0
277,4,23,4,2,0,2260.0,1007,0.84,33,0.737,0.446,0,5,1,4,0
278,4,30,5,2,2,17682.0,2481,1.302,31,1.214,0.14,1,5,0,3,0
279,4,42,3,1,3,4206.0,1100,0.587,22,1.0,0.262,0,3,1,1,0
280,1,37,4,3,2,34516.0,1440,1.117,34,2.4,0.042,1,2,2,3,3
281,4,36,4,3,0,23018.0,2168,0.859,24,1.667,0.094,1,3,3,3,0
282,1,44,5,2,3,5556.0,1711,1.434,21,1.625,0.308,0,5,1,1,0
283,2,44,3,3,1,6094.0,0,1.129,14,0.273,0.0,0,3,1,5,0
284,0,52,3,1,2,2939.0,1999,2.145,33,1.538,0.68,1,2,1,1,0
285,0,48,2,1,0,5362.0,1274,1.015,41,0.783,0.238,1,5,1,3,0
286,2,36,3,3,3,27126.0,0,0.953,25,0.786,0.0,1,3,1,0,0
287,4,36,6,3,2,3342.0,2517,0.771,30,0.765,0.753,0,2,2,4,0
288,4,40,6,2,2,2532.0,2221,0.491,21,0.235,0.877,0,2,1,5,0
289,3,46,2,2,3,1900.0,1376,0.89,45,0.607,0.724,0,1,1,5,0
290,3,37,2,3,2,14546.0,1703,0.955,27,0.588,0.117,1,2,2,2,0
291,4,36,2,3,2,2521.0,1608,0.587,33,0.571,0.638,0,1,2,5,0
292,2,36,3,4,3,16427.0,1682,0.631,36,1.118,0.102,1,1,1,2,0
293,2,36,5,1,2,13068.0,1718,0.607,28,0.556,0.131,1,2,3,1,0
294,2,33,6,3,0,23218.0,1814,1.178,37,2.083,0.078,1,0,2,2,0
295,0,36,5,1,3,3281.0,837,1.859,29,1.417,0.255,1,3,1,1,0
296,2,47,5,3,2,3096.0,2217,0.799,41,0.783,0.716,1,3,1,1,0
297,0,52,5,2,3,2052.0,1250,0.728,31,0.632,0.609,0,3,1,1,0
298,1,30,2,3,0,1438.3,583,0.888,24,1.0,0.405,0,3,3,4,0
299,3,39,2,3,2,9432.0,1418,0.612,26,0.368,0.15,1,3,2,1,0
300,0,45,5,2,3,14938.0,2303,0.804,27,2.0,0.154,1,3,2,0,3
301,2,36,5,3,2,2221.0,1343,0.869,30,1.308,0.605,1,5,1,2,0
302,3,37,6,3,0,5731.0,1577,0.657,26,0.444,0.275,1,4,0,2,0
303,4,33,2,2,3,34516.0,2061,0.722,32,0.455,0.06,1,0,1,2,1
304,3,22,5,2,2,6985.0,1130,0.963,44,0.76,0.162,1,5,1,2,0
305,2,42,3,3,0,24221.0,1707,0.816,40,0.538,0.07,1,2,1,0,0
306,3,24,4,1,1,15439.0,0,0.742,43,0.536,0.0,0,3,1,5,0
