,Dependent_count,Months_on_book (Length of relationship with bansk[months]),Total_Relationship_Count (How many products with customer) ,Months_Inactive_12_mon (Card not used),Contacts_Count_12_mon (Number of contacts in 12 months),Credit_Limit,Total_Revolving_Bal (Balance unpaid at month end),Total_Amt_Chng_Q4_Q1(Ratio Q4/Q1),Total_Trans_Ct (Transaction Count 12 months),Total_Ct_Chng_Q4_Q1 (Change in the transaction amount Q4/Q1),Avg_Utilization_Ratio (Credit usage/Total Credit available),Gender_code,Education_Level_code,Marital_Status_code,Income_Category_code,Card_Category_code
5007,1,50,5,1,3,1438.3,0,0.578,84,0.714,0.0,0,0,2,1,0
4022,5,38,4,1,2,7357.0,1069,0.77,64,0.641,0.145,1,3,1,2,0
4194,4,36,4,1,3,9375.0,1625,0.532,51,0.5,0.173,1,2,1,2,0
2663,2,41,5,2,2,8532.0,2165,0.707,63,0.75,0.254,1,2,1,1,0
9890,3,37,4,1,2,6725.0,493,0.72,106,0.606,0.073,0,4,1,1,0
1282,3,23,6,2,2,5645.0,0,1.05,32,0.455,0.0,0,5,1,4,0
7478,2,34,2,4,3,4617.0,1035,0.36,35,0.591,0.224,1,0,2,3,0
1362,1,29,5,1,3,8398.0,1892,0.861,29,0.526,0.225,0,2,1,5,0
4030,4,26,2,2,2,4391.0,1933,0.579,36,0.385,0.44,0,2,2,4,0
1437,4,30,4,3,4,34516.0,1018,1.129,55,0.774,0.029,1,2,1,0,0
9751,0,36,1,2,3,34516.0,806,0.755,102,0.672,0.023,1,3,2,3,3
8481,3,40,2,6,1,2337.0,0,0.586,90,0.765,0.0,0,0,3,5,0
56,3,36,2,2,0,2802.0,2363,0.75,40,0.6,0.843,0,2,2,4,0
6622,3,37,3,2,3,1900.0,0,0.864,45,0.452,0.0,0,6,2,5,0
8588,2,38,3,6,3,16494.0,1158,0.692,84,0.647,0.07,1,6,1,0,0
10073,2,40,3,3,3,3750.0,1801,0.889,116,0.657,0.48,1,2,1,2,0
1844,0,41,3,3,2,16033.0,560,0.963,31,1.067,0.035,1,2,1,3,0
7447,2,37,6,1,1,5099.0,958,0.607,73,0.521,0.188,0,5,1,5,0
8686,3,34,2,2,1,1913.0,1405,0.699,80,0.905,0.734,1,0,1,1,0
5735,4,36,6,1,2,1438.3,0,0.746,71,0.821,0.0,1,3,2,3,0
2880,3,23,6,3,4,2804.0,2090,1.248,77,1.081,0.745,0,3,2,5,0
1743,1,36,5,2,3,4784.0,0,0.905,54,0.929,0.0,0,5,1,5,0
8506,0,49,1,2,3,2228.0,1480,0.533,71,0.651,0.664,1,5,2,1,0
9257,2,36,2,2,2,3477.0,752,0.703,120,0.739,0.216,1,0,2,0,0
4464,3,45,5,1,4,3062.0,2039,1.057,71,0.821,0.666,0,0,2,4,0
3787,2,31,6,3,4,3216.0,0,0.683,81,1.077,0.0,1,3,2,1,0
740,4,30,4,6,1,2450.0,1967,0.589,29,0.611,0.803,1,6,1,4,0
6558,2,18,5,3,3,1686.0,1206,0.767,68,0.511,0.715,0,2,1,4,0
5903,5,36,4,2,3,5495.0,2200,0.696,85,0.771,0.4,0,5,1,5,0
1624,2,24,4,3,2,4061.0,1775,0.686,40,0.667,0.437,1,0,2,3,0
524,4,31,6,3,1,34516.0,1013,0.575,37,0.85,0.029,1,3,1,0,0
6778,2,36,5,3,2,1959.0,662,0.888,52,0.793,0.338,0,2,1,1,0
4338,1,56,5,2,4,5152.0,948,0.953,72,1.057,0.184,0,2,2,1,0
5582,1,40,6,2,2,2661.0,1575,0.735,82,0.708,0.592,0,6,1,1,0
6880,2,36,6,4,0,2051.0,1154,0.605,79,0.717,0.563,0,2,2,4,0
3397,3,43,4,3,2,4798.0,0,0.583,72,0.636,0.0,0,3,1,5,0
435,2,22,6,1,3,2305.0,1627,0.747,36,0.565,0.706,0,2,1,1,0
5953,3,33,3,3,4,2140.0,0,0.765,50,0.316,0.0,0,3,1,4,0
9599,3,28,2,3,2,3744.0,0,0.796,69,0.769,0.0,1,4,2,1,0
308,2,37,2,3,2,14543.0,0,0.788,37,0.423,0.0,1,2,2,0,0
1565,0,20,6,2,3,1438.3,495,1.062,40,0.333,0.344,1,2,2,4,0
2631,1,45,5,3,3,2151.0,1163,0.849,62,0.59,0.541,1,5,1,1,0
5758,4,46,3,3,2,13090.0,0,0.75,78,1.0,0.0,1,2,2,1,0
8494,3,37,2,2,1,2105.0,1072,0.514,81,1.077,0.509,0,6,2,4,0
401,2,40,3,3,3,3106.0,1120,1.045,17,0.7,0.361,1,5,1,0,0
4055,3,33,3,3,2,16351.0,1541,0.763,82,0.673,0.094,1,2,2,3,0
3068,3,33,6,3,4,14622.0,0,0.959,67,0.457,0.0,0,2,0,5,0
881,3,36,1,3,3,8663.0,288,0.639,33,0.32,0.033,1,3,1,2,0
434,0,46,6,1,2,9734.0,0,0.785,38,0.9,0.0,1,3,0,2,0
7836,5,42,3,5,3,4345.0,2176,0.752,44,0.467,0.501,0,1,1,5,0
3465,1,33,6,2,3,17165.0,1153,0.578,62,0.676,0.067,1,2,1,2,0
7487,2,36,6,3,3,1982.0,1751,0.843,62,0.676,0.883,1,2,1,2,0
8514,2,28,1,3,3,2734.0,1661,0.726,90,0.698,0.608,0,3,1,4,0
4957,2,41,2,2,3,3881.0,2517,0.815,38,0.407,0.649,0,1,1,4,0
5900,2,43,5,2,1,2239.0,1340,0.658,73,0.587,0.598,0,0,0,4,0
5714,3,37,5,2,6,17678.0,0,0.788,49,0.815,0.0,0,2,0,5,0
288,4,40,6,2,2,2532.0,2221,0.491,21,0.235,0.877,0,2,1,5,0
8474,4,48,2,4,1,3089.0,1177,1.01,75,0.829,0.381,0,3,2,1,0
8431,2,45,2,3,3,3460.0,0,0.466,47,0.621,0.0,1,2,2,2,0
2623,4,42,6,1,2,14438.0,2517,0.853,47,0.88,0.174,1,3,1,3,0
6113,1,24,5,3,3,1438.3,0,0.849,47,0.567,0.0,0,6,0,5,0
476,3,36,5,3,2,5124.0,2235,0.542,42,0.355,0.436,0,3,2,1,0
7225,3,35,3,4,3,1815.0,557,0.672,76,0.854,0.307,0,2,2,4,0
9271,3,36,2,2,2,23981.0,1408,0.844,96,0.846,0.059,1,2,2,1,1
7853,3,26,1,1,2,2032.0,1195,0.642,80,0.667,0.588,0,6,0,1,0
7902,2,37,2,2,3,2963.0,0,0.902,47,0.382,0.0,0,6,2,1,0
8761,2,40,2,4,1,14646.0,1448,0.895,92,0.586,0.099,1,2,1,0,0
737,1,24,4,3,3,3770.0,1197,0.621,49,0.441,0.318,1,0,2,1,0
4299,3,37,5,3,4,6457.0,0,0.531,73,0.431,0.0,1,3,0,0,0
5821,3,36,4,1,2,3716.0,0,0.886,73,0.521,0.0,0,3,1,4,0
7868,2,45,2,3,2,1529.0,710,0.657,81,0.884,0.464,0,4,2,4,0
5563,2,49,5,2,1,1438.3,680,0.77,93,0.691,0.473,0,5,0,4,0
5723,1,46,5,1,2,2442.0,1507,0.631,85,0.809,0.617,0,2,1,1,0
8334,2,35,2,3,4,4196.0,561,0.741,38,0.652,0.134,0,2,2,1,0
4271,1,26,3,3,2,2189.0,1833,0.56,72,0.846,0.837,0,3,2,4,0
5265,1,41,3,4,4,24542.0,2354,0.314,24,0.263,0.096,1,5,2,0,0
4751,3,22,4,1,4,1438.3,860,0.761,79,0.837,0.598,0,5,2,4,0
9120,2,43,4,3,3,13067.0,0,1.061,71,0.775,0.0,1,6,1,1,0
9374,2,24,2,2,2,16667.0,1463,0.803,115,0.797,0.088,1,5,1,3,0
1839,3,31,6,1,2,2014.0,896,1.055,52,0.857,0.445,1,6,1,2,0
1995,3,42,5,2,4,17302.0,1339,0.631,30,1.0,0.077,1,2,1,3,0
2399,3,34,6,3,3,5323.0,2301,0.68,33,0.65,0.432,1,2,1,2,0
7176,4,29,5,4,2,3600.0,746,0.824,61,0.694,0.207,1,3,3,1,0
3464,3,33,5,2,4,6848.0,0,0.962,82,0.822,0.0,0,3,1,4,0
8210,2,36,1,1,1,1834.0,0,0.618,87,0.611,0.0,0,6,1,1,0
3724,4,34,5,3,2,15449.0,0,0.783,81,0.588,0.0,0,0,2,5,0
800,2,21,6,4,3,20056.0,1602,0.466,46,0.533,0.08,1,6,2,0,0
8929,3,34,2,3,3,34516.0,1652,0.865,90,0.579,0.048,1,2,0,2,3
5841,1,36,5,2,2,1936.0,1613,0.841,80,0.818,0.833,0,2,2,1,0
1405,0,28,5,3,3,16049.0,799,0.777,33,0.571,0.05,0,2,1,5,0
5940,4,45,4,2,2,1687.0,992,0.721,82,0.783,0.588,1,3,0,3,0
69,2,38,6,2,2,25300.0,1330,1.072,15,2.0,0.053,1,1,1,3,0
7742,3,33,3,3,1,2341.0,1818,0.833,70,0.628,0.777,0,2,2,5,0
2759,0,22,5,2,2,7130.0,873,0.53,37,0.321,0.122,1,4,2,5,0
8987,3,36,2,3,3,34516.0,2517,0.703,87,0.582,0.073,1,2,2,3,1
1586,3,36,3,2,3,6077.0,1397,0.834,74,0.609,0.23,0,2,2,4,0
4381,1,24,6,3,4,11309.0,0,0.474,71,0.479,0.0,1,2,2,3,0
5743,1,40,5,1,3,2636.0,1840,0.844,67,0.811,0.698,0,6,1,4,0
1074,2,28,3,2,2,7225.0,0,0.419,16,0.231,0.0,0,3,1,1,0
6754,4,34,5,5,2,3322.0,2517,0.789,86,0.911,0.758,0,3,2,4,0
5491,2,36,5,2,3,4020.0,0,0.563,39,0.345,0.0,0,0,1,4,0
10053,3,36,3,2,2,7020.0,1784,0.815,116,0.731,0.254,0,5,2,1,0
9188,3,35,2,3,2,33889.0,1203,0.944,112,0.623,0.035,1,6,1,2,3
2603,2,38,6,3,2,7928.0,1228,0.632,37,0.682,0.155,1,2,1,2,0
9672,1,50,4,4,5,4613.0,0,0.978,78,1.294,0.0,1,3,2,4,0
1579,3,25,4,1,2,2149.0,1118,0.903,30,1.0,0.52,0,5,1,4,0
3298,0,37,4,5,2,10271.0,1746,0.661,72,0.6,0.17,1,2,2,1,0
5761,3,36,3,3,2,5678.0,2082,0.83,70,0.707,0.367,0,2,1,1,0
3761,3,38,4,3,1,7958.0,1559,0.726,72,0.714,0.196,1,5,1,4,0
409,2,47,5,3,2,6347.0,0,0.466,44,0.375,0.0,0,2,2,4,0
3379,3,26,6,2,2,15104.0,1204,0.824,79,0.58,0.08,0,2,2,1,3
4476,4,24,5,3,2,19188.0,0,0.453,69,0.816,0.0,1,2,2,2,0
5762,2,31,3,5,2,3964.0,1218,0.593,75,1.419,0.307,0,3,1,4,0
5384,0,20,5,1,5,3983.0,431,0.887,46,0.438,0.108,0,2,2,4,0
4004,1,30,3,2,2,18570.0,1892,0.748,78,0.773,0.102,1,5,0,2,0
3091,2,42,4,2,2,4834.0,0,0.998,35,1.059,0.0,1,6,2,4,0
2726,3,36,6,2,2,2447.0,1558,0.511,38,0.462,0.637,0,5,1,5,0
477,1,53,6,6,2,2880.0,2362,0.89,26,0.444,0.82,1,2,1,1,0
1329,3,36,5,1,3,1726.0,1215,1.175,48,0.548,0.704,1,2,1,2,0
2283,0,15,6,3,3,2740.0,2069,0.418,44,0.419,0.755,1,2,2,4,0
9765,3,36,2,3,3,34516.0,941,0.659,117,0.857,0.027,0,2,3,5,3
8565,1,21,1,2,1,2867.0,1365,0.502,89,0.745,0.476,0,2,2,4,0
1777,2,36,6,2,2,8374.0,2147,1.113,65,1.167,0.256,1,0,2,3,0
7445,2,36,6,2,3,2329.0,1271,0.729,70,0.667,0.546,0,2,1,1,0
751,2,36,4,1,1,8070.0,2350,1.03,61,0.649,0.291,0,3,2,4,0
5961,4,38,4,3,1,34516.0,1426,0.621,71,0.69,0.041,1,5,0,3,1
4193,1,36,3,3,4,26792.0,1671,0.938,66,0.571,0.062,1,2,3,3,0
9392,0,47,1,2,3,9502.0,1881,0.717,100,0.754,0.198,0,2,2,1,0
9944,2,36,3,2,2,18022.0,0,0.823,106,0.738,0.0,1,3,2,3,0
6069,1,28,3,2,1,1438.3,0,0.799,82,0.64,0.0,0,6,2,4,0
5288,2,36,6,5,4,1438.3,647,0.889,64,0.684,0.45,0,5,1,4,0
4081,2,30,3,1,3,21815.0,0,0.807,72,1.118,0.0,1,6,2,2,0
8486,3,26,2,2,3,4376.0,855,0.839,52,0.733,0.195,0,2,1,5,0
5298,3,36,5,1,4,3666.0,1739,0.779,84,0.826,0.474,0,3,1,4,0
468,2,30,6,3,0,18578.0,1385,0.565,54,0.421,0.075,1,6,1,3,0
1545,1,31,5,2,2,2417.0,1929,0.886,42,0.556,0.798,0,2,1,4,0
6495,4,30,5,3,3,2765.0,1211,0.736,58,0.706,0.438,0,0,2,1,0
2683,3,28,5,2,3,1864.0,1081,1.416,44,1.75,0.58,0,4,1,1,0
10065,2,25,1,2,3,26794.0,821,0.848,58,0.933,0.031,1,3,0,2,3
6364,1,36,6,2,2,2759.0,2481,0.588,84,0.68,0.899,0,4,2,4,0
1025,3,36,1,1,3,34516.0,781,0.803,12,0.091,0.023,1,2,1,3,0
4121,2,42,4,2,2,1575.0,0,1.32,77,0.974,0.0,1,0,2,3,0
9523,3,39,2,1,1,3803.0,2437,0.809,117,0.746,0.641,0,3,1,4,0
5524,4,38,3,3,2,1485.0,736,0.622,65,0.912,0.496,0,2,1,4,0
2354,2,19,5,3,1,3156.0,2095,1.281,56,0.75,0.664,0,6,1,4,0
9245,2,48,2,4,2,4746.0,0,0.862,66,1.062,0.0,0,6,1,4,0
3819,2,26,4,3,4,1438.3,0,0.71,77,0.604,0.0,0,3,2,4,0
773,0,53,6,2,3,14434.0,1927,2.675,32,3.571,0.134,1,4,1,5,0
8443,0,22,1,3,2,1438.3,713,0.806,80,0.951,0.496,0,6,2,4,0
8925,1,36,2,3,2,17698.0,1769,0.623,95,0.583,0.1,1,5,1,3,0
7815,2,37,3,2,2,34516.0,1495,0.52,70,0.707,0.043,1,3,1,3,3
9746,1,36,2,3,2,19846.0,2162,0.602,122,0.694,0.109,0,5,1,5,0
641,2,41,6,2,2,3244.0,1762,0.661,32,1.0,0.543,1,3,3,2,0
4353,3,33,5,2,4,10533.0,1689,0.359,69,0.605,0.16,1,0,2,1,0
4504,4,36,3,1,2,18721.0,1568,0.788,81,0.8,0.084,1,6,2,2,0
7372,3,35,4,3,2,1666.0,0,0.92,38,0.52,0.0,0,2,1,4,0
7580,2,37,3,1,2,8956.0,1279,0.864,73,1.212,0.143,1,2,1,0,0
3746,3,28,3,4,3,5216.0,1519,0.887,49,0.69,0.291,0,4,0,4,0
8641,4,27,2,3,2,13804.0,1903,0.723,97,0.54,0.138,1,3,1,2,0
1108,1,53,3,3,3,3506.0,1604,0.574,61,0.649,0.458,1,3,1,1,0
4461,4,35,4,3,1,1539.0,0,0.944,71,0.614,0.0,0,5,1,4,0
3707,2,32,3,1,3,1438.3,710,0.683,80,0.569,0.494,0,6,1,4,0
1420,3,36,5,2,2,5525.0,2409,0.929,33,0.941,0.436,0,3,3,4,0
5144,1,36,5,2,3,1438.3,735,0.762,87,0.673,0.511,0,5,2,4,0
8752,4,36,5,3,2,2367.0,1606,0.956,59,0.639,0.678,1,4,2,3,0
5049,0,54,5,2,0,7098.0,2224,0.864,59,0.788,0.313,1,1,2,4,0
5376,3,36,6,2,3,3355.0,1878,0.725,84,0.953,0.56,1,6,2,3,0
5079,3,34,3,1,2,3256.0,1013,0.988,81,0.841,0.311,0,0,1,1,0
5657,2,43,6,3,2,3068.0,1765,0.853,73,0.698,0.575,0,5,1,5,0
8026,2,36,6,3,2,3918.0,2517,0.47,42,0.448,0.642,0,3,1,4,0
1680,2,45,3,2,4,5930.0,0,1.19,32,0.684,0.0,0,2,1,1,0
6906,2,53,4,2,3,2642.0,1249,0.682,81,0.723,0.473,0,3,1,1,0
633,2,36,5,3,0,11261.0,2485,0.736,26,0.857,0.221,0,3,1,4,3
2569,0,50,4,2,2,3147.0,1602,0.569,23,0.643,0.509,0,2,1,4,0
8183,0,13,2,1,1,10254.0,0,0.51,68,0.838,0.0,1,6,3,4,3
7538,2,31,5,2,3,5821.0,764,0.688,96,0.684,0.131,1,0,2,3,0
2166,1,47,3,1,4,2212.0,1392,0.573,34,0.7,0.629,1,3,1,2,0
363,2,44,6,2,3,2339.0,1440,0.431,22,0.375,0.616,0,2,1,1,0
6959,0,36,5,3,1,3008.0,2517,0.674,68,0.659,0.837,0,2,2,4,0
2825,1,26,3,3,2,2517.0,0,0.946,62,0.771,0.0,0,6,2,4,0
5372,0,36,4,3,4,2089.0,0,0.871,51,0.5,0.0,0,2,1,4,0
6427,0,14,3,2,1,2163.0,1942,0.582,57,0.781,0.898,0,2,3,4,0
7728,3,37,3,1,2,3052.0,1603,0.776,82,0.907,0.525,0,3,2,5,0
10012,5,30,3,3,2,34516.0,1768,0.767,124,0.722,0.051,1,5,1,3,3
5908,4,36,3,1,2,2092.0,1499,0.811,80,1.162,0.717,0,5,2,4,0
6682,4,35,5,3,2,2001.0,0,0.791,82,0.64,0.0,1,0,0,2,0
4326,3,32,6,4,4,3072.0,1970,0.671,82,0.952,0.641,0,1,2,5,0
4209,2,44,5,1,2,5612.0,1884,0.77,83,0.886,0.336,1,6,2,0,0
1172,3,35,5,1,3,2829.0,2342,0.991,41,1.05,0.828,1,2,3,2,0
7149,1,36,3,4,1,2632.0,1480,0.588,89,0.679,0.562,0,6,2,4,0
4342,3,32,6,3,1,1817.0,885,0.621,67,0.675,0.487,1,6,1,3,0
4060,4,36,3,2,3,3179.0,1229,0.781,82,1.05,0.387,0,2,1,1,0
2576,0,21,4,3,2,1585.0,1535,0.462,49,0.485,0.968,1,2,2,4,0
1989,2,13,5,1,2,1438.3,0,0.946,67,0.763,0.0,0,1,2,4,0
7171,2,44,4,4,2,1644.0,0,1.033,82,0.783,0.0,0,4,1,4,0
3279,3,39,5,2,4,21425.0,1459,1.061,60,0.538,0.068,0,2,2,1,3
8328,3,36,2,3,3,1439.0,0,0.638,79,0.837,0.0,0,5,0,1,0
9137,4,30,2,2,3,2082.0,1794,0.735,48,0.92,0.862,0,5,1,4,0
5730,3,28,3,2,2,11629.0,802,0.912,78,0.902,0.069,1,6,1,0,0
2628,1,24,4,3,0,3450.0,2517,0.652,64,0.778,0.73,0,0,2,4,0
9423,4,27,1,2,1,24134.0,1290,0.814,110,0.642,0.053,1,1,1,3,0
1410,3,26,6,1,4,3209.0,2517,0.431,37,0.762,0.784,0,4,3,5,0
5632,4,37,1,2,2,23250.0,0,0.564,43,0.654,0.0,1,5,1,3,0
4097,2,28,4,3,0,1438.3,0,1.017,73,0.872,0.0,0,2,1,4,0
6552,2,29,3,3,1,4710.0,1604,0.607,78,0.814,0.341,0,6,1,4,0
9866,2,23,4,2,2,7594.0,1442,0.753,99,0.678,0.19,0,2,2,1,0
9224,2,38,6,2,1,34516.0,397,0.914,81,0.841,0.012,1,5,3,0,0
7100,3,36,5,4,3,1814.0,0,0.852,99,0.623,0.0,0,4,2,5,0
815,1,38,6,3,2,22140.0,733,0.987,45,0.667,0.033,1,2,1,3,0
2404,1,25,3,2,3,2608.0,1799,0.732,72,0.636,0.69,1,3,2,1,0
7431,3,32,5,1,1,1438.3,491,0.494,86,0.593,0.341,0,5,2,5,0
10082,1,20,3,1,2,16496.0,1409,0.677,126,0.703,0.085,1,6,1,1,3
7110,1,27,5,6,0,13100.0,1436,0.519,78,0.5,0.11,1,2,3,1,0
2131,3,45,6,2,4,1813.0,1387,0.406,32,0.231,0.765,1,6,1,1,0
1797,0,55,4,1,4,3556.0,2517,0.983,56,0.6,0.708,1,2,1,2,0
3090,0,20,6,3,3,12793.0,1650,0.783,67,0.763,0.129,0,5,2,4,3
4302,1,42,5,0,4,10057.0,0,0.792,42,0.448,0.0,0,3,2,5,0
4693,4,33,1,3,2,1748.0,1103,0.739,41,0.708,0.631,0,2,3,4,0
3122,3,33,5,3,1,7207.0,2002,0.828,70,0.707,0.278,0,0,2,4,0
6673,4,26,4,2,2,3159.0,0,0.916,46,0.353,0.0,0,2,1,4,0
4343,3,33,1,3,4,3443.0,0,0.832,45,0.452,0.0,0,2,3,5,0
122,1,47,3,2,2,12262.0,1836,1.584,38,1.533,0.15,1,3,1,3,0
179,1,36,4,2,3,3356.0,985,0.35,28,0.556,0.294,0,5,1,1,0
9370,2,35,1,2,2,34516.0,1068,0.966,123,0.809,0.031,1,5,2,0,0
5684,3,36,4,2,3,9465.0,0,0.657,59,1.107,0.0,1,6,1,1,0
4862,3,36,6,2,2,2545.0,1894,0.911,68,0.789,0.744,0,6,3,1,0
6433,3,30,6,2,3,3143.0,2517,0.959,79,0.881,0.801,0,2,1,4,0
10005,5,36,6,2,4,22355.0,2179,0.726,99,0.8,0.097,1,2,1,0,0
1157,2,21,3,1,3,2256.0,775,0.879,33,0.435,0.344,1,4,1,1,0
237,3,33,3,3,3,34516.0,0,0.483,27,0.35,0.0,1,2,3,3,0
1532,4,36,6,3,4,18102.0,1381,0.513,32,0.143,0.076,1,1,2,3,0
8981,1,32,1,1,3,4874.0,2317,0.854,98,0.782,0.475,1,0,3,1,0
6487,2,47,4,2,3,1804.0,1298,0.758,73,0.921,0.72,0,3,1,4,0
9230,0,21,4,2,3,4598.0,0,0.439,77,0.833,0.0,0,2,2,4,0
1535,1,34,6,5,3,4489.0,2498,0.779,58,0.568,0.556,0,3,1,1,0
7779,4,42,3,3,3,3096.0,0,0.684,87,0.776,0.0,1,0,2,2,0
7900,3,29,4,2,3,1438.3,0,0.748,56,0.75,0.0,0,6,2,5,0
2605,5,40,3,1,1,4365.0,0,0.598,57,1.111,0.0,0,0,0,1,0
5843,0,36,4,1,2,1438.3,0,0.622,62,0.632,0.0,0,6,1,4,0
7299,5,26,6,3,2,34516.0,797,1.133,59,1.034,0.023,1,2,1,0,0
7666,3,29,3,3,3,2473.0,2332,0.293,32,0.455,0.943,0,6,2,1,0
2177,3,23,5,3,3,2263.0,1794,0.794,37,0.542,0.793,0,2,1,4,0
8201,3,31,1,3,4,1678.0,0,0.676,61,0.694,0.0,0,2,2,4,0
2351,2,47,3,1,2,4580.0,1300,0.519,34,0.7,0.284,0,2,1,4,0
6209,1,29,3,3,2,2406.0,1705,0.624,89,0.816,0.709,0,1,1,4,0
3422,3,31,6,3,2,4005.0,1985,1.356,34,0.7,0.496,1,3,2,1,0
8560,3,39,1,2,1,7088.0,1750,0.618,76,0.727,0.247,1,2,1,3,0
2134,0,36,3,1,5,3091.0,0,0.665,65,0.548,0.0,1,3,0,1,0
1480,1,34,6,1,3,3766.0,1049,0.666,51,0.645,0.279,1,6,0,3,0
2793,2,34,3,2,3,11188.0,0,0.658,47,0.621,0.0,1,1,1,0,0
4981,3,30,5,3,4,7764.0,621,0.67,72,0.756,0.08,0,5,0,4,0
9904,5,26,5,1,2,16033.0,766,0.682,115,0.855,0.048,1,6,1,3,0
10060,1,36,4,2,3,4158.0,1889,0.872,130,0.831,0.454,1,2,1,1,0
8804,3,33,2,3,3,9303.0,1580,0.877,87,0.45,0.17,1,5,3,3,0
6699,2,47,5,1,2,2504.0,1915,0.897,86,0.654,0.765,0,1,0,4,0
7197,2,50,3,1,3,2210.0,1002,0.938,86,0.654,0.453,1,3,1,2,0
8782,3,39,1,1,2,34516.0,1873,0.629,104,0.677,0.054,0,3,2,5,1
7636,1,40,3,2,3,1438.3,0,0.675,77,0.75,0.0,0,2,0,1,0
4619,3,34,6,2,3,2641.0,1336,1.019,77,0.791,0.506,0,2,1,4,0
4205,1,55,6,2,1,11524.0,0,0.682,72,0.532,0.0,1,2,2,3,0
3838,1,36,3,3,3,15221.0,1166,0.839,68,0.619,0.077,1,1,2,2,0
1952,3,41,5,4,4,3161.0,1220,0.82,62,0.824,0.386,0,3,1,4,0
